题目类型,题目内容,选项A,选项B,选项C,选项D,正确答案,解析
选择题,负载均衡算法中轮询的特点是什么？,随机分配,按顺序分配,根据权重分配,根据响应时间分配,B,轮询算法按照顺序将请求分配给服务器
选择题,CAP定理中的P代表什么？,性能,分区容错性,持久性,一致性,B,CAP定理中P代表Partition tolerance分区容错性
选择题,以下哪种缓存策略写入性能最好？,Write-through,Write-back,Write-around,Cache-aside,B,Write-back策略写入时只更新缓存性能最好
选择题,分布式锁的实现方式不包括？,Redis,ZooKeeper,数据库,消息队列,D,消息队列不适合实现分布式锁
选择题,微服务架构中API网关的作用不包括？,路由转发,身份认证,数据存储,限流控制,C,API网关不负责数据存储
填空题,分布式系统中解决数据一致性的常用方案是 _____ 和 _____。,,,,,两阶段提交 三阶段提交,2PC和3PC是常用的分布式一致性协议
填空题,Redis集群中数据分片使用的算法是 _____。,,,,,一致性哈希,Redis Cluster使用一致性哈希算法进行数据分片
填空题,容器编排工具 _____ 可以管理大规模容器集群。,,,,,Kubernetes,Kubernetes是主流的容器编排工具
填空题,服务网格技术 _____ 可以处理服务间通信。,,,,,Istio,Istio是流行的服务网格解决方案
填空题,时间序列数据库 _____ 适合存储监控数据。,,,,,InfluxDB,InfluxDB是专门的时间序列数据库
